,prompt,completion
1,Did you suffer any injuries?,  -> No but thanks to my friend they were able to remove and replace my bones and
6,"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?"," -> No, I don't know who he is.

My life hasn't been"
7,"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together",",  both fell in love -> Did she move away?

I have a 30"
8,sorry to hear! do you have any idea about the break up? did you think about it ?," -> No, but I hope I can see her again at some point.  I hope"
9,"Yes we decided together with our minds, and know i come home and feel so distant from the world"," -> That has happened though to many when moving, it really pays dividends!

I"
13,I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors," could help. -> Oh god..how so? What happened?

Knowledge i"
14,"Ugh, those articles always get me too... :( What was wrong with her? "," -> Yeah, she is just aging so fast. I screwed up and left the kids overnight"
15,"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying"," for her to heal. -> Are you quite satisfied with her progress?

That is"
20,Which one?,"  -> Fallout Magna Carta

I did not expect that

I am"
27,I do! I want to be able to protect my son, against the dreadful sickness that is causing him so much pain.  He needs pampering
28,i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years, lol -> I bet! What kind of things do you want to do there? Cults
30,I moved to the US and they stayed in my homecountry," for about 2 years. -> That is a long time, were you glad for them to"
36,Thats horrible., I hope he will find out quickly that he broke these things. Chair mats are easy to
38,Yes I do not like walmart.," Its scary depending on your budget. 

The parents going to be stressed?? "
42,my baby is sleeping. it's so peaceful and quiet in this house,".  -> Aw, that must be nice. I hope it's a good baby for"
43,"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. "," -> He will remember for years to come. Makes me feel grateful for him.

"
46,"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?", -> i had been modeling for a while before this happened. my first day in the shop
47,i was thinking about it! I wanted to join a group for local moms, -> That makes a lot of sense - Sounds like a good cause for you to kick-
48,"I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.","  -> Any suggestions?

everyday mom : you can use a yo-y"
49,oh man. i'm all about discipline! I don't like spoiled bratty kids," any more

10.01 F-word! - yes he needed to learn that"
52,ok, not only for the reasons about money -> able to save however where you never earned over doubled
68,"I agree, someimes we just know"," where we came from.. -> i do that too

we are born from our mothers"
73,I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely," a lot of times.. so I just value friendship, and people trying to help me,"
75,Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes, -> Don't worry too much about it. Just remember that you are far away from being
79,The other day I had a deep craving for Chik-Fil-A., I had really struggled to fund my diet plan. -> That must have been pretty nerve wr
81,Mine too. So I drive there and pull in the parking lot and it's completely empty. I then realized it was Sunday.," -> Oh no! What's the rush day plan?

This was happening one Saturday"
91,"Well, like a lot of 6th graders I was aware of *not* wanting to be an outcast for any reason. And unfortunately, she was. As an adult of course, my heart squeezes for *all* the kids we were!"," -> Wonderful to hear!  I think everyone is in their own aotimes, so"
