prompt,completion
Did you suffer any injuries?,"

###

 

###

 -> No, I feel much happier now$$"
No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault., He had saved the day and it made me feel more responsible Update: It turned out the
Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience," !

###

 

###

 -> That is awesome! I hope you"
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together",.  I still vividly associate that moment with him resurfacing in my fractured psyche. 
sorry to hear! do you have any idea about the break up? did you think about it ?," 

###

 ->  ->  -> i thought about it a little, but"
"Yes we decided together with our minds, and know i come home and feel so distant from the world", that i can hardly see it.  I let go a little more of my++++++
I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors," were started at the mouth. So thanks to the Government of Northern Bladewist,"
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying"," for her.

###

 

###

 -> Thats awesome! whoever"
i was singing nursery songs :)," she seemed very excited! -> 

###

 -> -> That is awesome! I"
i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods! ," -> 

###

 ->  I am so relieved that my medicine gun is at"
Thats not good. Do you own a gun?," 

###

 -> 

###

 -> Yes, and I plan on"
i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years,"! I can't wait to go and get it ""---> 

###

"
I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident,. I didn Francis Lucchia corrido. I knew enough$$$$$$$$
Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures., It's like SG-urbed - but with an out Growth Mind. It's SpringsPS
Yes. I do not have a Facebook.,"

02 Major discipline, but I think I will use it frequently.$$$$$"
"So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer","!

###

 -> ->  -> restraint, thueuky! What a"
Thats horrible.," I hope you change soon

###

 .

###

 -> i am doing"
"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. ","


 TODAY IS HOOOOOEL!!

###

 -> !!

)'"
